artifact_name,project_name,metric_name,sample_date,amount
necessist,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
maat,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
redstone-sw-testnet,redstone-finance,GITHUB_active_developers_monthly,2022-06-01,1
redstone-node,redstone-finance,GITHUB_active_developers_monthly,2022-06-01,2
ozdefender-autotask,third-web,GITHUB_active_developers_monthly,2022-02-01,1
ebpf-common,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
.github,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
create-thirdweb-app,third-web,GITHUB_active_developers_monthly,2022-02-01,2
ebpf-common,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
pyth-sdk-js,pyth-network,GITHUB_active_developers_monthly,2022-09-01,1
pyth-client-js,pyth-network,GITHUB_active_developers_monthly,2022-09-01,1
graphtage,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
posthog-property-filter-plugin,third-web,GITHUB_active_developers_monthly,2022-11-01,1
weggli-native,trailofbits,GITHUB_active_developers_monthly,2022-07-01,1
go-sdk,third-web,GITHUB_active_developers_monthly,2022-07-01,1
uthenticode,trailofbits,GITHUB_active_developers_monthly,2022-07-01,1
blight,trailofbits,GITHUB_active_developers_monthly,2022-12-01,1
og-image,third-web,GITHUB_active_developers_monthly,2022-07-01,1
pyth-js,pyth-network,GITHUB_active_developers_monthly,2022-06-01,1
pyth-sdk-rs,pyth-network,GITHUB_active_developers_monthly,2022-09-01,1
python-sdk,third-web,GITHUB_active_developers_monthly,2022-06-01,1
pyth-js,pyth-network,GITHUB_active_developers_monthly,2022-09-01,1
pyth-sdk-js,pyth-network,GITHUB_active_developers_monthly,2022-07-01,1
publications,runtimeverification,GITHUB_active_developers_monthly,2022-12-01,1
